,date,min,max,mean,stDev,min_clm,max_clm,mean_clm,stDev_clm
0,2021-08-02,-0.9899425506591797,1.0,-0.17445025118148674,0.142877552493266,0.0,1.0,0.8113128907412906,0.39125986768169835
1,2021-08-07,-1.0,1.0,-0.1453952202113126,0.17659265829308338,0.0,1.0,0.3613575468889566,0.48039386985613336
2,2021-08-12,-0.9524661302566528,1.0,-0.15501802981401988,0.14444425787617154,0.0,1.0,0.6599583209288444,0.47372284678451254
3,2021-08-17,-0.6444199681282043,1.0,-0.16343693187951666,0.11845899735371565,0.0,1.0,0.7504019053289708,0.43278041292048364
4,2021-08-22,-0.5923041701316833,0.3715726435184479,-0.23715447516214058,0.07716811687526054,0.0,1.0,0.9849359928550157,0.12180756476393205
5,2021-08-27,-1.0,1.0,-0.14739820705998666,0.13413048094357688,0.0,1.0,0.700625186067283,0.45798420793240135
6,2021-09-01,-0.6617262363433838,-0.47218453884124756,-0.5933719241555282,0.03089409619034425,1.0,1.0,1.0,0.0
7,2021-09-06,-0.548336923122406,0.21740351617336273,-0.1682866128874671,0.07725321146168301,1.0,1.0,1.0,0.0
8,2021-09-11,-0.49248453974723816,0.0027598896995186806,-0.2465168025909802,0.058208681963641845,1.0,1.0,1.0,0.0
9,2021-09-16,-0.8177817463874817,-0.5786736011505127,-0.7198268780682768,0.0343687698958908,1.0,1.0,1.0,0.0
10,2021-09-21,-0.6942148804664612,1.0,-0.1419529078879497,0.12904478253594973,0.0,1.0,0.592974099434355,0.49127977450162824
11,2021-09-26,-0.8470588326454163,0.4043799042701721,-0.2330240500212169,0.14356314430905798,0.0,1.0,0.8687704674010097,0.337651214084651
